URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,81.0,82.0,-0.006134969287515526,0.12228057005080226,20.157894383194837,0.7693646649260226,8.370903619248343,20.157894736842106,607.0,1149.0,3123.0,1.0,7.2793733681462145
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,60.0,75.0,-0.11111111028806585,0.1381780960714656,11.434782442974168,0.6628643852978454,4.839058731308806,11.434782608695652,607.0,789.0,1879.0,1.0,6.429657794676806
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,85.0,89.0,-0.02298850561500859,0.1447587353205002,15.454545220385679,0.7852941176470588,6.495935735213095,15.454545454545455,607.0,1020.0,2830.0,1.0,7.249019607843137
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,73.0,69.0,0.028169013886133704,0.1283905966289416,11.737499853281252,0.6666666666666666,4.961666607979168,11.7375,607.0,939.0,2161.0,1.0,6.359957401490948
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,74.0,81.0,-0.04516129003121749,0.12694512684115877,13.26666648977778,0.7246231155778895,5.596515842142268,13.266666666666667,607.0,995.0,2503.0,1.0,6.801005025125628
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,72.0,71.0,0.006993006944104847,0.16305587210597963,14.17647031026529,0.715076071922545,5.956618552875134,14.176470588235293,607.0,723.0,1810.0,1.0,6.764868603042877
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,32.0,36.0,-0.05882352854671282,0.1300191202102885,10.449999738750007,0.7177033492822966,4.467081235212922,10.45,607.0,418.0,1040.0,1.0,6.73444976076555
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,40.0,39.0,0.012658227687870536,0.1586345378340672,13.838709231009378,0.6643356643356644,5.801217958138018,13.838709677419354,607.0,429.0,956.0,1.0,6.212121212121212
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,88.0,90.0,-0.011235954993056433,0.12508784249818142,17.652173657214874,0.7003284072249589,7.341000825775933,17.652173913043477,607.0,1218.0,3009.0,1.0,6.616584564860427
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,66.0,97.0,-0.1901840479129813,0.1062581485617613,12.553191355817114,0.7194915254237289,5.309073152496338,12.553191489361701,607.0,1180.0,2885.0,1.0,6.733050847457627
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,53.0,54.0,-0.009345794305179492,0.13459119479925635,16.325581015684165,0.7962962962962963,6.848750924792185,16.325581395348838,607.0,702.0,1970.0,1.0,7.431623931623932
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,51.0,61.0,-0.08928571348852042,0.1181434597909879,11.205882188148792,0.6587926509186351,4.7458699356269705,11.205882352941176,607.0,762.0,1819.0,1.0,6.396325459317585
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,69.0,64.0,0.03759398467974448,0.138975966416953,23.432431799123467,0.7081891580161477,9.656248382855846,23.43243243243243,607.0,867.0,2227.0,1.0,6.904267589388697
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,81.0,68.0,0.08724832156209181,0.13411341122041995,17.222221903292187,0.7096774193548387,7.172759729058811,17.22222222222222,607.0,930.0,2374.0,1.0,6.88494623655914
51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,38.0,15.0,0.43396225596297633,0.14520547905423156,18.294116570934317,0.7620578778135049,7.622469779499129,18.294117647058822,607.0,311.0,845.0,1.0,7.19935691318328
52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,80.0,73.0,0.04575163368789782,0.15454545438934802,130.71426704081898,0.7060109289617487,52.568111187912294,130.71428571428572,607.0,915.0,2240.0,1.0,6.540983606557377
53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,44.0,23.0,0.3134328311427936,0.10436137055395425,14.648648252739237,0.7693726937269373,6.16720837858647,14.64864864864865,607.0,542.0,1439.0,1.0,7.142066420664206
54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,30.0,40.0,-0.14285714081632656,0.1419878293265967,21.631577808864325,0.8150851581508516,8.97866518680607,21.63157894736842,607.0,411.0,1172.0,1.0,7.824817518248175
55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,13.0,22.0,-0.2571428497959186,0.15624999930245537,32.166661305556445,0.7409326424870466,13.163037579217397,32.166666666666664,607.0,193.0,495.0,1.0,7.015544041450777
56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,46.0,99.0,-0.3655172388585018,0.1564185543080706,18.785713838435385,0.7845373891001267,7.8281004910142045,18.785714285714285,607.0,789.0,2059.0,1.0,6.798479087452471
57,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,29.0,44.0,-0.20547944924000755,0.14717741905811005,18.043477476370544,0.6843373493975904,7.491125930307255,18.043478260869566,607.0,415.0,975.0,1.0,6.508433734939759
58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,45.0,53.0,-0.08163265222823825,0.0782747603208668,10.865979269422894,0.7011385199240987,4.626847115738797,10.8659793814433,607.0,1054.0,2572.0,1.0,6.545540796963947
59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,65.0,27.0,0.4130434737712666,0.1965811961611513,12.67741894588971,0.6564885496183206,5.333562998203213,12.67741935483871,607.0,393.0,995.0,1.0,6.923664122137405
